frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
352,0.0,0.0,0.0,251.0,1007.0
353,0.0,0.0,0.0,251.0,1007.0
354,0.0,0.0,0.0,251.0,1007.0
355,0.0,0.0,0.0,251.0,1007.0
356,0.0,0.0,0.0,251.0,1007.0
357,0.0,0.0,0.0,251.0,1007.0
358,0.0,0.0,0.0,251.0,1007.0
359,0.0,0.0,0.0,251.0,1007.0
360,0.0,0.0,0.0,251.0,1007.0
361,0.0,0.0,0.0,251.0,1007.0
362,0.0,0.0,0.0,251.0,1007.0
363,0.0,0.0,0.0,251.0,1007.0
364,0.0,0.0,0.0,251.0,1007.0
365,0.0,0.0,0.0,251.0,1007.0
366,0.0,0.0,0.0,251.0,1007.0
367,0.0,0.0,0.0,251.0,1007.0
368,0.0,0.0,0.0,251.0,1007.0
369,0.0,0.0,0.0,251.0,1007.0
370,0.0,0.0,0.0,251.0,1007.0
371,0.0,0.0,0.0,251.0,1007.0
372,0.0,0.0,0.0,251.0,1007.0
373,0.0,0.0,0.0,251.0,1007.0
374,0.0,0.0,0.0,251.0,1007.0
375,0.0,0.0,0.0,251.0,1007.0
376,0.0,0.0,0.0,251.0,1007.0
377,0.0,0.0,0.0,251.0,1007.0
378,0.0,0.0,0.0,251.0,1007.0
379,0.0,0.0,0.0,251.0,1007.0
380,0.0,0.0,0.0,251.0,1007.0
381,0.0,0.0,0.0,251.0,1007.0
382,0.0,0.0,0.0,251.0,1007.0
383,0.0,0.0,0.0,251.0,1007.0
384,0.0,0.0,0.0,251.0,1007.0
385,0.0,0.0,0.0,251.0,1007.0
386,0.0,0.0,0.0,251.0,1007.0
387,0.0,0.0,0.0,251.0,1007.0
388,0.0,0.0,0.0,251.0,1007.0
389,0.0,0.0,0.0,251.0,1007.0
390,0.0,0.0,0.0,251.0,1007.0
391,0.0,0.0,0.0,251.0,1007.0
392,0.0,0.0,0.0,251.0,1007.0
393,0.0,0.0,0.0,251.0,1007.0
394,0.0,0.0,0.0,251.0,1007.0
395,0.0,0.0,0.0,251.0,1007.0
396,0.0,0.0,0.0,251.0,1007.0
397,0.0,0.0,0.0,251.0,1007.0
398,0.0,0.0,0.0,251.0,1007.0
399,0.0,0.0,0.0,251.0,1007.0
400,0.0,0.0,0.0,251.0,1007.0
401,0.0,0.0,0.0,251.0,1007.0
402,0.0,0.0,0.0,251.0,1007.0
403,0.0,0.0,0.0,251.0,1007.0
404,0.0,0.0,0.0,251.0,1007.0
405,0.0,0.0,0.0,251.0,1007.0
406,0.0,0.0,0.0,251.0,1007.0
407,0.0,0.0,0.0,251.0,1007.0
408,0.0,0.0,0.0,251.0,1007.0
409,0.0,0.0,0.0,251.0,1007.0
410,0.0,0.0,0.0,251.0,1007.0
411,0.0,0.0,0.0,251.0,1007.0
412,0.0,0.0,0.0,251.0,1007.0
413,0.0,0.0,0.0,251.0,1007.0
414,0.0,0.0,0.0,251.0,1007.0
415,0.0,0.0,0.0,251.0,1007.0
416,0.0,0.0,0.0,251.0,1007.0
417,0.0,0.0,0.0,251.0,1007.0
418,0.0,0.0,0.0,251.0,1007.0
419,0.0,0.0,0.0,251.0,1007.0
420,0.0,0.0,0.0,251.0,1007.0
421,0.0,0.0,0.0,251.0,1007.0
